114ceaa78ae7,e1e85aa3-cb8c-4c7b-8ea2-654161afa5eb,95dae6dd-a5b3-44c7-965f-15ce269a4dfd,50,0.008743662834167481,0.007754325866699219,0.005059003829956055,0.01609039306640625
1707e003fdb9,365ea922-f1fc-4aa1-a93f-c465ae75b3a3,ae0c05a7-1ba8-4c65-a2f8-3e787d449279,11,0.04590366103432395,0.026745319366455078,0.017940998077392578,0.2271890640258789
dd8cdeae73fa,365ea922-f1fc-4aa1-a93f-c465ae75b3a3,9c38da95-f83a-4a09-ab81-d96a978d6421,13,0.038660562955416165,0.024268388748168945,0.017448902130126953,0.1519465446472168
0a2448cc64f4,365ea922-f1fc-4aa1-a93f-c465ae75b3a3,efb106fe-cd0c-4f06-88a4-0de380dbc05d,15,0.03173950513203939,0.0289456844329834,0.017729759216308594,0.04993867874145508
07f7ca897878,d3a7d81e-3ae2-47cb-be58-fccc4edbe42c,10fc22f5-89c4-4e3c-b698-3c8dc80cf6fb,24,0.019644657770792644,0.01682591438293457,0.012250900268554688,0.04838728904724121
b9d69dede980,d3a7d81e-3ae2-47cb-be58-fccc4edbe42c,7773ba26-5072-4364-94f4-10162b511102,24,0.019744277000427246,0.015113115310668945,0.011983394622802734,0.04109334945678711
07f7ca897878,d3a7d81e-3ae2-47cb-be58-fccc4edbe42c,59316db0-350e-4eb3-9d09-b9b31203d1ae,24,0.019964327414830525,0.016808271408081055,0.011619329452514648,0.06421756744384766
8496681d1c57,d3a7d81e-3ae2-47cb-be58-fccc4edbe42c,4d6341ae-a65d-4e10-bb72-3211bf7df848,25,0.01917320251464844,0.015264034271240234,0.009885311126708984,0.06875300407409668
463d21292fd3,d3a7d81e-3ae2-47cb-be58-fccc4edbe42c,38cc1001-8980-4e4a-98bf-9a40975ec0fa,23,0.020697407100511635,0.01734471321105957,0.013105392456054688,0.06882143020629883
463d21292fd3,d3a7d81e-3ae2-47cb-be58-fccc4edbe42c,4d6fe551-051f-4874-a02c-4886567151fc,25,0.019276561737060546,0.016510725021362305,0.010157108306884766,0.031599998474121094
07f7ca897878,d3a7d81e-3ae2-47cb-be58-fccc4edbe42c,9c528d65-3033-452c-aaaf-976333b286f2,22,0.021837061101740055,0.019379615783691406,0.011414527893066406,0.042099714279174805
5f7b68e0d6ed,e2448244-fc8a-4e93-8108-3d7c8117a623,454d3a9c-c908-4b77-bddd-2667795b5612,19,0.02514958381652832,0.017714738845825195,0.012764453887939453,0.09836578369140625
c75ad72eb1fc,e2448244-fc8a-4e93-8108-3d7c8117a623,b1d00566-db7e-448e-9783-26c3ec0052c1,19,0.02540956045451917,0.017270565032958984,0.012446403503417969,0.13548827171325684
c75ad72eb1fc,e2448244-fc8a-4e93-8108-3d7c8117a623,9755aba1-3668-4b6c-af5f-08cecbe6b632,20,0.024419105052947997,0.01754927635192871,0.011720895767211914,0.06835412979125977
dad2469e48eb,e2448244-fc8a-4e93-8108-3d7c8117a623,d993a3cb-e0bb-4105-b1f1-a0777ece0e37,20,0.02430708408355713,0.018518686294555664,0.013112306594848633,0.1017146110534668
004ae7dc1eb9,e2448244-fc8a-4e93-8108-3d7c8117a623,c390156d-58ce-46a9-abda-b102607499ef,20,0.024914073944091796,0.019362211227416992,0.011826515197753906,0.09189724922180176
004ae7dc1eb9,e2448244-fc8a-4e93-8108-3d7c8117a623,0e3e49cf-3ec8-4772-920b-f04fcc43d80b,19,0.026126673347071597,0.0180511474609375,0.013417720794677734,0.09010791778564453
5f7b68e0d6ed,e2448244-fc8a-4e93-8108-3d7c8117a623,9edd49a5-baa5-4ecf-8e56-223b1460db88,22,0.021471738815307617,0.017690181732177734,0.010182619094848633,0.05604815483093262
